Device	Component	FState	Rail	Mode	Microvolt	Microamp	Param4	Param5	Line
\_SB.USB2			LDO12_A	0x001B7740	0x04				51003
\_SB.USB2			LDO16_E	0x002EE000	0x04				51017
\_SB.USB2			LDO3_C	0x00124F80	0x04				51031
\_SB.USB2			LDO9_E	0x000DEA80	0x04				51045
\_SB.USB2			LDO5_E	0x000D6D80	0x04				51059
\_SB.USB2			LDO12_A	0x001B7740	0x04				51217
\_SB.USB2			LDO16_E	0x002EE000	0x04				51231
\_SB.USB2			LDO3_C	0x04					51245
\_SB.USB2			LDO9_E	0x04					51259
\_SB.USB2			LDO5_E	0x000D6D80	0x04				51273
\_SB.USB2			LDO16_E	0x04					51431
\_SB.USB2			LDO12_A	0x04					51445
\_SB.USB2			LDO3_C	0x04					51459
\_SB.USB2			LDO9_E	0x04					51473
\_SB.USB2			LDO5_E	0x04					51487
\_SB.AMSS.QWLN			LDO1_E	0x000B7980	0x04				51641
\_SB.AMSS.QWLN			LDO1_E	0x04					51660
\_SB.AMSS.QWLN			LDO1_E	0x04					51679
\_SB.COEX			LDO1_E	0x000B7980	0x04				51719
\_SB.COEX			LDO1_E	0x04					51738
\_SB.BTH0			LDO7_A	0x001B7740	0x04				51774
\_SB.BTH0			LDO9_A	0x0013E5C0	0x04				51788
\_SB.BTH0			LDO11_C	0x00328980	0x04				51802
\_SB.BTH0			LDO7_A	0x04					51821
\_SB.BTH0			LDO9_A	0x04					51835
\_SB.BTH0			LDO11_C	0x04					51849
\_SB.PCI0			LDO3_C	0x00124F80					51908
\_SB.PCI0			LDO5_E	0x000D6D80					51922
\_SB.PCI0			LDO3_C						52233
\_SB.PCI0			LDO5_E						52247
\_SB.PCI1			SMPS8_C	0x02	0x001B7740				52353
\_SB.PCI1			LDO3_C	0x00124F80					52383
\_SB.PCI1			LDO5_E	0x000D6D80					52397
\_SB.PCI1			LDO3_C						52723
\_SB.PCI1			LDO5_E						52737
\_SB.PCI1			SMPS8_C	0x02					52751
\_SB.PCI2			LDO3_C	0x00124F80					52873
\_SB.PCI2			LDO5_E	0x000D6D80					52887
\_SB.PCI2			LDO3_C						53213
\_SB.PCI2			LDO5_E						53227
\_SB.PCI3			LDO3_C	0x00124F80					53333
\_SB.PCI3			LDO5_E	0x000D6D80					53347
\_SB.PCI3			LDO3_C						53673
\_SB.PCI3			LDO5_E						53687
\_SB.PCI0			LDO3_C	0x00124F80					53795
\_SB.PCI0			LDO5_E	0x000D6D80					53809
\_SB.PCI0			LDO3_C						54183
\_SB.PCI0			LDO5_E						54197
\_SB.PCI1			SMPS8_C	0x02	0x001B7740				54303
\_SB.PCI1			LDO3_C	0x00124F80					54333
\_SB.PCI1			LDO5_E	0x000D6D80					54347
\_SB.PCI1			LDO3_C						54736
\_SB.PCI1			LDO5_E						54750
\_SB.PCI1			SMPS8_C	0x02					54764
\_SB.PCI2			LDO3_C	0x00124F80					54886
\_SB.PCI2			LDO5_E	0x000D6D80					54900
\_SB.PCI2			LDO3_C						55289
\_SB.PCI2			LDO5_E						55303
\_SB.PCI3			LDO3_C	0x00124F80					55409
\_SB.PCI3			LDO5_E	0x000D6D80					55423
\_SB.PCI3			LDO3_C						55812
\_SB.PCI3			LDO5_E						55826
\_SB.CAMP			LDO16_A	0x07					60233
\_SB.CAMP			LDO16_A	0x002AB980	0x07				60252
\_SB.CAMS			LDO1_A	0x00124F80	0x07				60617
\_SB.CAMS			LDO2_A	0x002B7CD0	0x07				60631
\_SB.CAMS			LDO14_A	0x001B7740	0x07				60645
\_SB.CAMS			LDO17_A	0x002B7CD0	0x07				60659
\_SB.CAMS			LDO17_A	0x07					60748
\_SB.CAMS			LDO14_A	0x07					60762
\_SB.CAMS			LDO2_A	0x07					60776
\_SB.CAMS			LDO1_A	0x07					60790
\_SB.CAMF			LDO14_A	0x001B7740	0x07				60984
\_SB.CAMF			LDO2_A	0x002AB980	0x07				61007
\_SB.CAMF			LDO1_A	0x00124F80	0x07				61030
\_SB.CAMF			LDO1_A	0x07					61174
\_SB.CAMF			LDO2_A	0x07					61197
\_SB.CAMF			LDO14_A	0x07					61248
\_SB.CAMI			LDO14_A	0x001B7740	0x07				61423
\_SB.CAMI			LDO10_A	0x002B7CD0	0x07				61437
\_SB.CAMI			LDO10_A	0x07					61554
\_SB.CAMI			LDO14_A	0x07					61568
\_SB.TSC1			LDO4_C	0x00325AA0	0x07				69528
\_SB.TSC1			LDO12_E	0x001B7740	0x07				69553
\_SB.TSC1			LDO12_E	0x07					69620
\_SB.TSC1			LDO4_C	0x07					69636
